,0,1,2,3,4,5,6,7,8,9
0,12092.062726567978,11918.826381521743,12575.014832082823,11321.722212244636,12311.923028413721,12341.70178270163,11505.588139318814,11426.238973910682,12783.736822103276,12103.564534226136
1,11985.87085567229,11818.400188053422,12460.70562380618,11330.216861248511,12457.727346256652,12362.990885855777,11641.938955640137,11313.488439739216,12750.569570452135,12153.911661911856
2,12028.059931461308,11827.934169658469,12406.246152284832,11596.988133526334,12331.85331245169,12304.198741406793,11597.861595381111,11277.677387989042,13017.579454141933,12049.627419481872
3,11916.86367182732,11798.371397080333,12486.1886614773,11719.455412500176,12419.62821578622,12301.918003136454,11536.214634150989,11395.168165980918,12886.53474577543,12130.264442859661
4,11825.529332890374,11733.51233200963,12538.367070195935,11675.077051042548,12376.041184734431,12408.707949654872,11581.136991937283,11405.16495707283,12829.018816011621,12013.438495076876
5,11810.1493492552,11740.48093129584,12436.129269887522,11670.273669187558,12329.265779319576,12317.575353405131,11542.349666469778,11337.449963414252,12800.364695175442,12032.7286705439
6,11713.764256471495,11715.521463108891,12648.059895773356,11650.59602044574,12397.277488910118,12389.627912973996,11554.735064183544,11611.55377978993,12978.435280674628,12000.751814121093
7,11719.523018765012,11952.446429877498,12732.887496542178,11679.131987242075,12336.357745934158,12460.822824436265,11473.146505394956,11500.436605765142,12867.326405523308,11913.5775212658
8,11751.41052692576,12054.849665722646,12678.46966640702,11789.556009161612,12319.723186918198,12495.345347676275,11384.312426543354,11547.273232188581,12837.57771690339,11821.538213479056
9,11719.165480127205,12091.673889608224,12638.237630643509,11761.647238223437,12265.237476917262,12425.781408780467,11454.151081746422,11630.083523556956,13065.155109473077,11737.537733773439
10,11855.301511867623,12108.45032644466,12790.536115360435,11701.603855577392,12160.958768526008,12498.023126330407,11378.425865587096,11625.551797769744,12958.895540085352,11669.279483953593
11,11808.381189225009,12056.791513729335,12826.149720995418,11933.46821043721,12061.031842629294,12490.352806136578,11482.042941791324,11529.328676942623,12831.969377864405,11739.489338653195
12,11771.225654002064,12118.443609371543,12869.264037121628,11887.395489686975,12328.821858691052,12401.148547859355,11514.868131637166,11437.931989113767,12882.585870366556,11967.097245578147
13,11870.597721450542,12021.981925439391,12775.388764648511,11889.825331072287,12552.432979377218,12301.635632975034,11594.5925803826,11449.397727611642,12855.28769142751,11995.558240587216
14,11913.920068865555,11914.95364073053,12738.449268082506,11905.544633682377,12480.663697828628,12252.374879621479,11571.569255310958,11514.8845854814,12820.18147686167,11941.39528211733
15,11892.463606577896,11829.587171067513,12687.309752590763,11867.966133880012,12390.491882048731,12198.040160264292,11523.650151563259,11432.862657824826,12767.905863928818,11921.112296916775
16,11825.18640315934,12061.110072811502,12586.314690192608,11805.632320930385,12444.391794237452,12133.83278333988,11625.7951704351,11395.119571144354,12671.567417671287,12045.963697668278
17,11830.637542320928,12016.664294078102,12522.589199178958,11980.175279766323,12519.39967236262,12048.850204457678,11686.37190006008,11423.604293957123,12702.48870344192,11982.126163115392
18,11804.77535000513,11923.804706228679,12522.850862901465,11863.352537685985,12476.765403900581,12011.137777105108,11592.92163900925,11370.679374365835,12691.381777929786,11943.321858170922
19,11876.484381174289,11836.019285413196,12475.296594417046,11846.25041332979,12381.098208110203,12136.697776457357,11758.42295433936,11317.520472474782,12589.193880538294,11898.452361417672
20,11884.710272027358,11902.924378097772,12729.8235798879,11940.075978029638,12335.308316589617,12089.594617116667,11659.418165521642,11307.528140476938,12615.465799445741,11816.376309070813
21,11809.808452649011,12038.472161710883,12707.761030392749,11979.278623258466,12318.998822127976,12054.953727000799,11800.307274986439,11309.077668681117,12661.051858153842,11761.061461214102
22,11763.852839147232,12028.80637731099,12610.44507398801,12376.166149315051,12230.94412521609,12112.499881675232,11730.020650053331,11500.901486932818,12673.213727670467,11807.478780428137
23,12042.85472943246,12184.000188093887,12694.1664366806,12373.654215370494,12327.354830289396,12138.579835852288,11742.93327513246,11470.446966636484,12684.754191058362,11974.942731531191
24,12019.920613548255,12171.447869572994,12754.371122907227,12361.22884742719,12545.770953588933,12108.05306298735,11654.959862937523,11439.931217605674,12652.08277314141,11881.343473557305
25,11969.541894804803,12114.948437490591,12760.576027236244,12270.425946151994,12711.873252505164,12165.591105738646,11578.841875479082,11366.993706879703,12585.250414176604,11802.737923628016
26,11991.710004745508,12080.53263647319,12828.085282963508,12234.567500637699,12644.30041536042,12143.580599452915,11529.120640280245,11355.60641505418,12612.369165545491,11917.324662960766
27,11984.955462164542,12080.081388065402,12743.442615491289,12542.159909845128,12612.140165032526,12113.95366327595,11627.678155435968,11339.00442084028,12653.952088023003,11915.754190527152
28,11984.52506484257,12076.230055010335,12687.936362464632,12626.537094763697,12645.35625871471,12020.88602791072,11653.666260598879,11317.161019045767,12624.759382172011,11951.70402944584
29,11895.032018530865,12048.039523563955,12572.72467505538,12821.778323939103,12617.98135166831,11935.401035663597,11566.658557621318,11271.303077355784,12544.00686884559,11876.992521532187
30,11845.449516676166,11964.34846501669,12758.36571746736,12898.524687967692,12736.429392615219,11892.235495324827,11507.23995248759,11291.73281572092,12446.735306565315,11873.23884100597
31,11793.868935273826,11869.5256723728,12665.781337233899,12884.2959424797,12629.281225014016,11877.151171246935,11431.705850291304,11394.783500682519,12431.881446912545,11853.081512221292
32,11811.01551677798,11926.398191576185,12635.213863479525,12821.87264813971,12560.595127238063,11838.725015664519,11405.947620462191,11348.55551222559,12373.250667072703,11759.783852174027
33,11733.358502344265,11876.992621342592,12590.53332924777,12816.538021013219,12514.377185275816,11784.362505525356,11365.098511714265,11358.29629045215,12299.976598890893,11694.604833795696
34,11786.274914986025,11839.071118005433,12555.7043330387,12751.897755025288,12495.486027074674,11750.717823631783,11441.673598899455,11472.373980466142,12274.401639757662,11625.786592222348
35,11804.14969792534,11773.330002325954,12577.816595604128,12687.380141798643,12445.166878798,11693.39178667303,11376.450804497028,11460.284703894535,12266.238812277701,11673.664889554431
36,11845.317862926318,11814.55896321079,12596.305137970612,12659.151337782567,12360.483710883542,11711.399286335434,11428.164407078355,11574.008731329412,12373.043694479338,11809.49504942678
37,11819.45873890799,11998.44207590558,12551.011853051317,12765.012029410942,12406.263281098883,11755.131359957766,11429.680591691123,11523.998217389768,12335.438093424396,11792.82277092122
38,11783.546873785537,11916.073426837542,12532.15617425217,12767.360094518686,12445.244626385034,11819.379912470407,11383.500160688205,11498.911073510832,12248.42526305754,11874.473220334157
39,11876.076161153554,11811.307114566389,12521.157514693692,12913.646750890552,12427.063853398864,11791.806528496685,11362.59721951523,11470.17703262902,12169.65653023853,11804.672776221785
40,11958.811924588897,12012.66779483965,12527.823507901467,12896.521981884132,12484.651851798277,11908.824167491524,11347.91387556313,11461.321561824245,12122.359987625203,11731.752774650897
41,11983.071311058751,12229.876518579906,12496.215313185487,12812.03158984721,12461.201820127737,11966.637368942364,11339.891129630001,11535.628926759595,12095.720912982746,11634.025574054598
42,11931.181686329879,12257.55086146374,12480.206086532475,12884.172569292026,12418.115415797598,11930.66989257422,11295.852075810362,11493.256823718095,11999.33897839343,11881.742415492057
43,11971.383714211395,12245.224679500981,12513.065073321079,12811.12552310068,12421.572698918393,11881.242533212295,11234.604254942386,11427.54311781172,12068.612404067131,12132.632679556322
44,12011.375129051255,12156.864114817921,12444.49161712024,12952.855219159206,12439.766556951025,11908.126702824427,11323.602605967555,11532.238437107118,12085.833975627507,12105.607309248515
45,11924.045976532472,12204.948104315497,12376.703151829004,12967.348480103366,12345.495307239826,11886.701789857112,11347.054349620894,11587.666461041112,12026.607046180025,12077.12480140145
46,11956.178408443222,12162.554154846799,12355.497316365681,13019.451455126286,12311.303479939363,11892.335705709285,11264.237529389793,11500.467253532539,12154.302554304628,12087.029113770222
47,11904.591221706341,12164.718470145724,12285.780451807539,12918.393085821026,12265.53707276627,11814.09080099156,11233.462153440512,11515.789301269117,12085.180543098342,12033.1191824285
48,11884.606953124632,12165.115411085566,12254.69302876524,12913.88832897437,12250.4672108021,11765.206920554543,11405.103918063583,11645.010776806408,12016.936586490707,12069.485556986356
49,11792.87743841388,12216.453331384659,12170.252229136464,12885.698690314612,12277.585456178089,11800.00982211046,11446.70651009872,11635.140843159399,11977.996397478637,12060.16902366207
50,11790.866121674422,12349.592194213621,12098.069914212814,12909.68652935659,12198.653982438875,11758.980028312842,11402.261634250099,11591.486434401586,11898.097946837568,12078.357847790356
51,11756.351123773158,12391.372491184966,12043.429516330487,12840.143333481172,12325.003329933617,11747.2756827731,11342.606879342024,11628.432400616992,11876.575896252052,12071.70764555064
52,11748.081186177787,12445.130637617029,12117.040105343813,12802.835635664122,12277.777300684551,11656.388079957605,11379.907049023943,11652.570030990462,11980.533038698692,12021.916167207606
53,11942.412063088777,12360.27122525717,12227.247126703525,12778.120377805373,12180.464538805063,11576.681168183331,11491.85612358781,11598.929421348166,11959.338073041057,12065.75057717101
54,11954.663484542862,12451.647053747964,12352.251395360618,12775.272101805336,12514.501791403152,11669.267570194592,11454.228549646856,11553.041083799586,11913.735981947628,12266.12583559228
55,11975.31662930235,12389.246244314883,12266.583935066847,12866.562115843062,12488.486486100424,11573.215465853678,11421.98135671792,11514.830303959969,11958.978442847532,12306.503959227442
56,11951.333580842942,12343.59333081129,12247.44781083367,13040.599788096213,12450.764592251206,11653.252992625245,11448.995763807734,11469.061510622234,12009.080877709803,12289.107191044595
57,12157.874043118838,12328.08463268617,12219.866485354367,12958.563247510396,12479.17267084175,11580.594181999797,11479.239407247504,11380.838733296674,12043.829661568127,12284.160371402248
58,12102.386141769348,12323.32085107651,12203.546237686991,12880.42829631932,12563.959676000222,11517.968435089022,11430.089269609804,11299.157555569942,12095.349924061964,12282.493772654327
59,12231.255974231075,12250.57830206116,12117.892873090323,12789.215971897029,12514.276069239666,11578.59676245682,11598.001594397949,11274.645199092654,12124.770758076638,12380.073174708992
60,12161.885172166045,12237.356038955546,12186.98727709904,12792.102647954653,12539.7836108014,11554.597360840495,11578.978291715388,11298.71643416727,12058.51144480911,12323.305150624916
61,12250.275926960872,12255.147936824183,12130.548521443096,12714.660047050582,12525.363070776246,11566.297926388155,11569.976822501194,11235.34981300713,12011.689765316994,12339.488005323514
62,12197.599912253136,12200.107428349398,12312.340855191891,12642.333993213655,12619.492661635524,11524.895999772078,11546.361520678387,11261.251678203782,12164.75402820086,12264.946187106485
63,12152.425029336111,12212.027948917193,12242.145829785224,12570.817346377993,12567.748584119205,11562.062395098781,11563.097835007666,11248.948094429577,12110.379227097064,12279.625269338227
64,12390.663479573515,12255.469977585084,12168.830134369353,12506.668106919225,12649.88786326009,11586.269062515305,11480.655003626616,11214.64458956356,12074.177285688556,12305.84787127563
65,12320.642730759475,12174.849848272457,12123.842750381336,12423.484865495002,12573.506545805938,11695.142162417329,11585.39570927857,11289.730825087414,12033.794293065303,12335.647650585792
66,12308.234097551393,12115.051683229722,12175.863701433998,12368.805277522317,12635.437386488786,11614.313077649847,11593.392462573365,11462.344086360194,12217.83228733119,12320.09771977718
